Isolate ID,Name,Accession,Originating Lab,Submitting Lab
EPI_ISL_3914874,A/Gallus_gallus/Belgium/4325_0001/2019(H3N1),EPI1888379,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_3914873,A/Gallus_gallus/Belgium/3953/2019(H3N1),EPI1888377,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_3914879,A/Gallus_gallus/Belgium/4581_0002/2019(H3N1),EPI1888419,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_130117,A/swine/Nebraska/A01300022/2012,EPI399396,,
EPI_ISL_3914878,A/Gallus_gallus/Belgium/4070_0001/2019(H3N1),EPI1888411,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_162887,A/swine/North_Carolina/A01410688/2014,EPI532373,,
EPI_ISL_3914877,A/Gallus_gallus/Belgium/4008/2019(H3N1),EPI1888403,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_3914876,A/Gallus_gallus/Belgium/4010/2019(H3N1),EPI1888395,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_17530179,A/swine/Indiana/A02861251/2023,EPI2528613,,
EPI_ISL_130121,A/swine/Minnesota/A01300160/2012,EPI399408,,
EPI_ISL_162891,A/swine/North_Carolina/A01410672/2014,EPI532385,,
EPI_ISL_162888,A/swine/North_Carolina/A01410687/2014,EPI532376,,
EPI_ISL_3914871,A/Gallus_gallus/Belgium/3945_0002/2019(H3N1),EPI1888366,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_3914870,A/Gallus_gallus/Belgium/3912_0001/2019(H3N1),EPI1888358,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_3914869,A/Gallus_gallus/Belgium/609_0001/2019(H3N1),EPI1888350,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_212045,A/duck/Anhui/D293/2014,EPI710990,,
EPI_ISL_162892,A/swine/Illinois/A01411761/2014,EPI532388,,
EPI_ISL_130127,A/swine/Nebraska/A01300475/2012,EPI399426,,
EPI_ISL_212044,A/equine/Scottish_Borders/3/2015,EPI710985,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_162893,A/swine/Iowa/A01410633/2014,EPI532391,,
EPI_ISL_64592,A/swine/Guangdong/102/2002,EPI226610,,
EPI_ISL_130131,A/swine/Iowa/A01300194/2012,EPI399438,,
EPI_ISL_130130,A/swine/Iowa/A01300451/2012,EPI399435,,
EPI_ISL_97362,A/mallard/Germany-BE/R663/08,EPI416239,,Friedrich-Loeffler-Institut
EPI_ISL_18414924,A/duck/Mongolia/WKU-38/2022,EPI2777224,,
EPI_ISL_130133,A/swine/Nebraska/A01300467/2012,EPI399444,,
EPI_ISL_18414925,A/duck/Mongolia/WKU-42/2022,EPI2777232,,
EPI_ISL_130132,A/swine/Minnesota/A01301345/2012,EPI399441,,
EPI_ISL_130135,A/swine/Minnesota/A01300992/2012,EPI399450,,
EPI_ISL_130136,A/swine/Iowa/A01300195/2012,EPI399453,,
EPI_ISL_130141,A/swine/Minnesota/A01301346/2012,EPI399468,,
EPI_ISL_130140,A/swine/Minnesota/A01300213/2012,EPI399465,,
EPI_ISL_130143,A/swine/North_Carolina/A01300820/2012,EPI399474,,
EPI_ISL_162914,A/swine/Illinois/A01536186/2014,EPI532469,,
EPI_ISL_293990,A/duck/Hokkaido/10/2015,EPI1153517,,
EPI_ISL_162912,A/swine/Illinois/A01536474/2014,EPI532463,,
EPI_ISL_293991,A/duck/Hokkaido/102/2014,EPI1153524,,
EPI_ISL_162913,A/swine/Illinois/A01536079/2014,EPI532466,,
EPI_ISL_130146,A/swine/Nebraska/A01240867/2012,EPI399483,,
EPI_ISL_130149,A/swine/Minnesota/A01301000/2012,EPI399492,,
EPI_ISL_130151,A/swine/Minnesota/A01327666/2012,EPI399498,,
EPI_ISL_18054523,A/swine/Ohio/A02684929/2023,EPI2664346,,
EPI_ISL_18054522,A/swine/Ohio/A02684930/2023,EPI2664338,,
EPI_ISL_18054521,A/swine/Ohio/A02685126/2023,EPI2664330,,
EPI_ISL_293999,A/duck/Mongolia/146/2010,EPI1153558,,
EPI_ISL_130154,A/swine/Nebraska/A01240337/2011,EPI399504,,
EPI_ISL_3030082,A/equine/Herefordshire/116/2021,EPI1882951,Three_Counties_Equine_Hospital,University_of_Cambridge
EPI_ISL_130157,A/swine/Illinois/A01240775/2012,EPI399513,,
EPI_ISL_293993,A/duck/Mongolia/103/2011,EPI1153532,,
EPI_ISL_293994,A/duck/Mongolia/1047/2009,EPI1153538,,
EPI_ISL_18054524,A/swine/Ohio/A02684928/2023,EPI2664354,,
EPI_ISL_130158,A/swine/Minnesota/A01240792/2012,EPI399515,,
EPI_ISL_162934,A/swine/Indiana/A01260521/2014,EPI532508,,
EPI_ISL_294002,A/duck/Mongolia/181/2010,EPI1153583,,
EPI_ISL_294012,A/blue-winged_teal/Ohio/16OS1027/2016,EPI1153612,,
EPI_ISL_130168,A/swine/Illinois/A01240784/2012,EPI399545,,
EPI_ISL_16891259,A/swine/Ohio/A02751357/2022,EPI2396883,,
EPI_ISL_130171,A/swine/Minnesota/A01300999/2012,EPI399555,,
EPI_ISL_16891261,A/swine/Ohio/A02751354/2022,EPI2396887,,
EPI_ISL_16891260,A/swine/Ohio/A02751356/2022,EPI2396885,,
EPI_ISL_16891263,A/swine/Illinois/A02751344/2022,EPI2396891,,
EPI_ISL_294020,A/mallard_duck/Ohio/16OS0846/2016,EPI1154198,,
EPI_ISL_16891264,A/swine/North_Carolina/A02751333/2022,EPI2396893,,
EPI_ISL_294021,A/blue-winged_teal/Illinois/16OS1724/2016,EPI1154152,,
EPI_ISL_130179,A/swine/South_Dakota/A01300602/2012,EPI399588,,
EPI_ISL_16891266,A/swine/North_Carolina/A02751351/2022,EPI2396897,,
EPI_ISL_14761061,A/swine/Italy/134758/2017,EPI2141521,,
EPI_ISL_294017,A/mallard_duck/Ohio/16OS4983/2016,EPI1154673,,
EPI_ISL_130180,A/swine/Illinois/A01240774/2012,EPI399591,,
EPI_ISL_3914934,A/Gallus_gallus/Belgium/4458_0001/2019_(H3N1),EPI1888616,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_130191,A/swine/Colorado/A01203748/2012,EPI399620,,
EPI_ISL_294027,A/green-winged_teal/Ohio/16OS1008/2016,EPI1153701,,
EPI_ISL_326805,A/swine/Nebraska/A02254607/2018,EPI1297355,,
EPI_ISL_130192,A/swine/Iowa/A01203751/2012,EPI399621,,
EPI_ISL_326807,A/swine/Michigan/A02254615/2018,EPI1297359,,
EPI_ISL_326800,A/swine/Iowa/A02254608/2018,EPI1297345,,
EPI_ISL_294032,A/green-winged_teal/Ohio/16OS1016/2016,EPI1154670,,
EPI_ISL_3914926,A/Gallus_gallus/Belgium/5228_0003/2019_(H3N1),EPI1888608,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
