Isolate ID,Name,Accession,Originating Lab,Submitting Lab
EPI_ISL_234398,A/swine/Minnesota/A01943862/2016,EPI837697,,
EPI_ISL_14766975,A/swine/Italy/401685/2020,EPI2142632,,
EPI_ISL_234396,A/swine/Minnesota/A01943867/2016,EPI837692,,
EPI_ISL_218019,A/swine/Bac_Ninh/242/2014,EPI741164,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218023,A/swine/Bac_Ninh/247/2014,EPI741196,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218022,A/swine/Bac_Ninh/246/2014,EPI741188,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218021,A/swine/Bac_Ninh/245/2014,EPI741180,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218020,A/swine/Bac_Ninh/243/2014,EPI741172,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218027,A/swine/Bac_Ninh/252/2014,EPI741228,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218026,A/swine/Bac_Ninh/250/2014,EPI741220,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218025,A/swine/Bac_Ninh/249/2014,EPI741212,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218024,A/swine/Bac_Ninh/248/2014,EPI741204,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218031,A/swine/Bac_Ninh/262/2014,EPI741260,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218030,A/swine/Bac_Ninh/257/2014,EPI741252,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218029,A/swine/Bac_Ninh/255/2014,EPI741244,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218028,A/swine/Bac_Ninh/253/2014,EPI741236,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218035,A/swine/Bac_Ninh/396/2014,EPI741292,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_283573,A/swine/Miyazaki/3/2013,EPI1090980,,National_Institute_of_Animal_Health
EPI_ISL_218034,A/swine/Bac_Ninh/393/2014,EPI741284,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_283574,A/swine/Miyazaki/4/2013,EPI1090988,,National_Institute_of_Animal_Health
EPI_ISL_218033,A/swine/Bac_Ninh/392/2014,EPI741276,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_283575,A/swine/Miyazaki/5/2013,EPI1090996,,National_Institute_of_Animal_Health
EPI_ISL_218032,A/swine/Bac_Ninh/391/2014,EPI741268,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_267184,A/common_teal/Netherlands/07/2000,EPI1013727,,
EPI_ISL_218039,A/swine/Bac_Ninh/404/2014,EPI741323,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218038,A/swine/Bac_Ninh/403/2014,EPI741315,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218037,A/swine/Bac_Ninh/400/2014,EPI741307,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218036,A/swine/Bac_Ninh/398/2014,EPI741299,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218043,A/swine/Dong_Nai/09-01-1/2014,EPI741355,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218041,A/swine/Bac_Ninh/418/2014,EPI741339,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218040,A/swine/Bac_Ninh/405/2014,EPI741331,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218047,A/swine/Dong_Nai/09-06-1/2014,EPI741387,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218046,A/swine/Dong_Nai/09-05-1/2014,EPI741379,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218045,A/swine/Dong_Nai/09-03-1/2014,EPI741371,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218044,A/swine/Dong_Nai/09-02-1/2014,EPI741363,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218051,A/swine/Dong_Nai/09-14-1/2014,EPI741419,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218050,A/swine/Dong_Nai/09-13-1/2014,EPI741411,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218049,A/swine/Dong_Nai/09-10-1/2014,EPI741403,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_267207,A/mallard_duck/Netherlands/60/2006,EPI1014560,,
EPI_ISL_218048,A/swine/Dong_Nai/09-07-1/2014,EPI741395,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_267203,A/mallard_duck/Netherlands/14/2011,EPI1010590,,
EPI_ISL_218052,A/swine/Dong_Nai/09-15-1/2014,EPI741427,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_365527,A/duck/East_Java/Spg78/2018,EPI1494190,"Institute_of_Tropical_Disease,_Universitas_Airlangga",Kobe_University_Graduate_School_of_Medicine
EPI_ISL_267224,A/mallard_duck/Netherlands/16/2012,EPI1010831,,
EPI_ISL_365531,A/duck/East_Java/Spg194/2018,EPI1494326,"Institute_of_Tropical_Disease,_Universitas_Airlangga",Kobe_University_Graduate_School_of_Medicine
EPI_ISL_365530,A/duck/East_Java/Spg82/2018,EPI1494318,"Institute_of_Tropical_Disease,_Universitas_Airlangga",Kobe_University_Graduate_School_of_Medicine
EPI_ISL_267236,A/mallard_duck/Netherlands/51/2008,EPI1013674,,
EPI_ISL_365545,A/duck/East_Java/Spg75/2018,EPI1494334,"Institute_of_Tropical_Disease,_Universitas_Airlangga",Kobe_University_Graduate_School_of_Medicine
EPI_ISL_365546,A/duck/East_Java/Spg79/2018,EPI1494358,"Institute_of_Tropical_Disease,_Universitas_Airlangga",Kobe_University_Graduate_School_of_Medicine
EPI_ISL_267243,A/barnacle_goose/Netherlands/2/2014,EPI1010875,,
EPI_ISL_267251,A/mallard_duck/Netherlands/1/2003,EPI1010651,,
EPI_ISL_5136,A/swine/Wisconsin/194/1980,EPI29633,,
EPI_ISL_5141,A/swine/Spain/33601/2001,EPI29766,,
EPI_ISL_5142,A/swine/Spain/39139/2002,EPI29785,,
EPI_ISL_234523,A/swine/Minnesota/A01778110/2016,EPI838333,,
EPI_ISL_234530,A/swine/North_Carolina/A01777989/2016,EPI838347,,
EPI_ISL_234528,A/swine/Iowa/A01778106/2016,EPI838343,,
EPI_ISL_267342,A/mallard_duck/Netherlands/2/2013,EPI1014857,,
EPI_ISL_234574,A/swine/Indiana/A01812245/2016,EPI838449,,
EPI_ISL_234573,A/swine/Michigan/A01104095/2016,EPI838441,,
EPI_ISL_234572,A/swine/Iowa/A01732489/2016,EPI854068,,
EPI_ISL_234578,A/swine/Iowa/A01778368/2016,EPI838540,,
EPI_ISL_234576,A/swine/Indiana/A01812246/2016,EPI838508,,
EPI_ISL_267344,A/mallard_duck/Netherlands/08/2000,EPI1013399,,
EPI_ISL_234581,A/swine/Iowa/A01778366/2016,EPI838546,,
EPI_ISL_234580,A/swine/Oklahoma/A01778144/2016,EPI838544,,
EPI_ISL_18847103,A/swine/North_Carolina/ISU-A02862207/2024,EPI2971692,Iowa_State_University,Iowa_State_University
EPI_ISL_19191108,A/swine/Illinois/A02858222/2024,EPI3360661,Iowa_State_University,
EPI_ISL_19191109,A/swine/North_Carolina/A02858219/2024,EPI3360663,Iowa_State_University,
EPI_ISL_19191110,A/swine/Oklahoma/A02858221/2024,EPI3360665,Iowa_State_University,
EPI_ISL_18847098,A/swine/Iowa/CEIRR-L97476/2023,EPI2971677,University_of_Pennsylvania,University_of_Pennsylvania
EPI_ISL_18847097,A/swine/Iowa/CEIRR-K97479/2023,EPI2971669,University_of_Pennsylvania,University_of_Pennsylvania
EPI_ISL_18847093,A/swine/Iowa/ISU-A02862158/2023,EPI2971660,Iowa_State_University,Iowa_State_University
EPI_ISL_18847091,A/swine/Iowa/ISU-A02862160/2023,EPI2971656,Iowa_State_University,Iowa_State_University
EPI_ISL_234607,A/canine/Georgia/104940/2015,EPI839104,,
EPI_ISL_201839,A/swine/Illinois/A02090702/2015,EPI672859,,
EPI_ISL_18847090,A/swine/Iowa/ISU-A02862161/2023,EPI2971654,Iowa_State_University,Iowa_State_University
EPI_ISL_234606,A/canine/North_Carolina/109904/2015,EPI839088,,
EPI_ISL_201838,A/swine/Illinois/A02090639/2015,EPI672856,,
EPI_ISL_234605,A/canine/Illinois/0843093/2015,EPI838664,,
EPI_ISL_18847088,A/swine/Iowa/ISU-A02862171/2023,EPI2971650,Iowa_State_University,Iowa_State_University
EPI_ISL_234604,A/canine/Wisconsin/19137/2016,EPI838662,,
EPI_ISL_234611,A/canine/Illinois/2883703/2015,EPI839096,,
EPI_ISL_234610,A/canine/Georgia/95391/2015,EPI839105,,
EPI_ISL_234609,A/canine/Indiana/96198/2015,EPI838671,,
EPI_ISL_267383,A/mallard_duck/Netherlands/2/2003,EPI1013536,,
EPI_ISL_234608,A/canine/Illinois/1619144/2015,EPI838668,,
EPI_ISL_18847083,A/swine/Iowa/ISU-A02862183/2023,EPI2971640,Iowa_State_University,Iowa_State_University
EPI_ISL_201847,A/swine/Iowa/A01944022/2015,EPI672884,,
EPI_ISL_18847082,A/swine/Iowa/ISU-A02862186/2023,EPI2971638,Iowa_State_University,Iowa_State_University
EPI_ISL_234614,A/equine/Ayrshire/2/2013,EPI838696,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_234613,A/canine/Korea/0589318/2015,EPI839126,,
EPI_ISL_234612,A/canine/Massachusetts/26810/2016,EPI838684,,
EPI_ISL_18847079,A/swine/Iowa/ISU-A02862194/2023,EPI2971632,Iowa_State_University,Iowa_State_University
EPI_ISL_218235,A/swine/Bac_Ninh/243/2015/pAEpC1,EPI742829,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218234,A/swine/Bac_Ninh/243/2015/E1,EPI742821,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_234617,A/equine/Northamptonshire/3/2013,EPI838702,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_218233,A/swine/Bac_Ninh/243/2015,EPI742813,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_18847076,A/swine/Iowa/ISU-A02862204/2024,EPI2971626,Iowa_State_University,Iowa_State_University
EPI_ISL_201848,A/swine/North_Carolina/A01945112/2015,EPI672887,,
EPI_ISL_218239,A/swine/Bac_Ninh/249/2015/pAEpC1,EPI742861,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_18847074,A/swine/Iowa/CEIRR-C100046/2023,EPI2971617,University_of_Pennsylvania,University_of_Pennsylvania
EPI_ISL_218238,A/swine/Bac_Ninh/249/2015,EPI742853,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_267386,A/mallard_duck/Netherlands/34/2010,EPI1010947,,
EPI_ISL_218237,A/swine/Bac_Ninh/249/2015/E1,EPI742845,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_19191131,A/swine/Pennsylvania/A02858220/2024,EPI3360806,Iowa_State_University,
EPI_ISL_218236,A/swine/Bac_Ninh/246/2015,EPI742837,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218243,A/swine/Bac_Ninh/252/2015,EPI742893,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218242,A/swine/Bac_Ninh/252/2015/E1,EPI742885,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218241,A/swine/Bac_Ninh/251/2015,EPI742877,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218240,A/swine/Bac_Ninh/250/2015,EPI742869,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_201856,A/swine/Iowa/A01945156/2015,EPI672911,,
EPI_ISL_267392,A/mallard_duck/Netherlands/13/2009,EPI1010971,,
EPI_ISL_218247,A/swine/Bac_Ninh/261/2015,EPI742925,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218246,A/swine/Bac_Ninh/256/2015,EPI742917,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218245,A/swine/Bac_Ninh/254/2015,EPI742909,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218244,A/swine/Bac_Ninh/252/2015/pAEpC1,EPI742901,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218251,A/swine/Bac_Ninh/271/2015,EPI742957,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218250,A/swine/Bac_Ninh/267/2015,EPI742949,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218249,A/swine/Bac_Ninh/265/2015,EPI742941,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218248,A/swine/Bac_Ninh/264/2015,EPI742933,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218255,A/swine/Bac_Ninh/273/2015,EPI742989,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_267401,A/mallard_duck/Netherlands/1/2004,EPI1011141,,
EPI_ISL_218254,A/swine/Bac_Ninh/272/2015/pAEpC1,EPI742981,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_201870,A/swine/North_Carolina/A01945243/2015,EPI672951,,
EPI_ISL_218253,A/swine/Bac_Ninh/272/2015,EPI742973,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_201869,A/swine/North_Carolina/A01945244/2015,EPI672948,,
EPI_ISL_18847120,A/swine/Minnesota/ISU-A02862174/2023,EPI2971737,Iowa_State_University,Iowa_State_University
EPI_ISL_218252,A/swine/Bac_Ninh/272/2015/E1,EPI742965,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_201868,A/swine/Iowa/A01944211/2015,EPI672945,,
EPI_ISL_218259,A/swine/Bac_Ninh/275/2015/pAEpC1,EPI743021,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218258,A/swine/Bac_Ninh/275/2015,EPI743013,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218257,A/swine/Bac_Ninh/275/2015/E1,EPI743005,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218256,A/swine/Bac_Ninh/274/2015,EPI742997,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218263,A/swine/Bac_Ninh/278/2015,EPI743053,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_234646,A/Lincolnshire/1/2013,EPI838918,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_218262,A/swine/Bac_Ninh/277/2015/pAEpC1,EPI743045,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_18847113,A/swine/Missouri/ISU-A02862184/2023,EPI2971723,Iowa_State_University,Iowa_State_University
EPI_ISL_234645,A/equine/Northamptonshire/5/2013,EPI838916,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_218261,A/swine/Bac_Ninh/277/2015,EPI743037,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_201877,A/swine/Illinois/A01857632/2015,EPI672972,,
EPI_ISL_18847112,A/swine/Missouri/ISU-A02862187/2023,EPI2971721,Iowa_State_University,Iowa_State_University
EPI_ISL_218260,A/swine/Bac_Ninh/277/2015/E1,EPI743029,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218267,A/swine/Bac_Ninh/284/2015,EPI743085,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218266,A/swine/Bac_Ninh/283/2015,EPI743077,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_18847109,A/swine/Nebraska/CEIRR-I100043/2023,EPI2971710,University_of_Pennsylvania,University_of_Pennsylvania
EPI_ISL_218265,A/swine/Bac_Ninh/281/2015,EPI743069,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_18847108,A/swine/Nebraska/CEIRR-I100044/2023,EPI2971703,University_of_Pennsylvania,University_of_Pennsylvania
EPI_ISL_218264,A/swine/Bac_Ninh/279/2015,EPI743061,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_18847107,A/swine/North_Carolina/ISU-A02862147/2024,EPI2971700,Iowa_State_University,Iowa_State_University
EPI_ISL_218271,A/swine/Bac_Ninh/294/2015,EPI743116,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218270,A/swine/Bac_Ninh/287/2015,EPI743109,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_18847105,A/swine/North_Carolina/ISU-A02862165/2023,EPI2971696,Iowa_State_University,Iowa_State_University
EPI_ISL_218269,A/swine/Bac_Ninh/286/2015,EPI743101,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218268,A/swine/Bac_Ninh/285/2015,EPI743093,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_14390393,A/Anas_platyrhynchos/Belgium/2214_0001/2021,EPI2122885,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
EPI_ISL_5286,A/swine/Spain/54008/2004,EPI32596,,
EPI_ISL_201896,A/swine/Minnesota/A01940427/2015,EPI672996,,
EPI_ISL_218287,A/swine/Dong_Nai/08-16-1/2015/pAEpC1,EPI743244,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218286,A/swine/Dong_Nai/08-16-1/2015,EPI743236,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_234669,A/canine/Texas/343907/2015,EPI839133,,
EPI_ISL_218291,A/swine/Dong_Nai/08-22-1/2015,EPI743276,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_234674,A/swine/South_Dakota/A01777894/2016,EPI839157,,
EPI_ISL_218290,A/swine/Dong_Nai/08-21-1/2015,EPI743268,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218289,A/swine/Dong_Nai/08-20-1/2015,EPI743260,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218288,A/swine/Dong_Nai/08-20-1/2015,EPI743252,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218295,A/swine/Dong_Nai/08-29-1/2015,EPI743308,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_234678,A/swine/Iowa/A01777893/2016,EPI839165,,
EPI_ISL_218294,A/swine/Dong_Nai/08-27-1/2015,EPI743300,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_234677,A/swine/Oklahoma/A01777830/2016,EPI839163,,
EPI_ISL_218293,A/swine/Dong_Nai/08-26-1/2015,EPI743292,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_267443,A/Bewick_swan/Netherlands/5/2007,EPI1013744,,
EPI_ISL_218292,A/swine/Dong_Nai/08-25-1/2015,EPI743284,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218298,A/swine/Dong_Nai/09-09-1/2015/pAEpC1,EPI743332,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218297,A/swine/Dong_Nai/09-09-1/2015,EPI743324,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218296,A/swine/Dong_Nai/09-06-1/2015,EPI743316,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218300,A/swine/Dong_Nai/09-24-1/2015,EPI743348,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_234702,A/American_green-winged_teal/Alaska/14164/2006,EPI839211,,
EPI_ISL_234707,A/American_green-winged_teal/Alaska/98313/2008,EPI839251,,
EPI_ISL_234705,A/American_green-winged_teal/Alaska/45497/2007,EPI839235,,
EPI_ISL_218320,A/swine/Bac_Ninh/43-01-2/2015,EPI743487,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_234711,A/American_green-winged_teal/Alaska/103885/2008,EPI839283,,
EPI_ISL_234710,A/American_green-winged_teal/Alaska/103781/2008,EPI839275,,
EPI_ISL_234708,A/American_green-winged_teal/Alaska/103773/2008,EPI839259,,
EPI_ISL_234713,A/American_green-winged_teal/Alaska/133766/2009,EPI839299,,
EPI_ISL_234712,A/American_green-winged_teal/Alaska/133672/2009,EPI839291,,
EPI_ISL_234718,A/American_green-winged_teal/Alaska/137916/2009,EPI839339,,
EPI_ISL_234717,A/American_green-winged_teal/Alaska/137896/2009,EPI839331,,
EPI_ISL_5342,A/blue-winged_teal/Ohio/926/2002,EPI33679,,
EPI_ISL_234716,A/American_green-winged_teal/Alaska/137886/2009,EPI839323,,
EPI_ISL_5345,A/blue-winged_teal/Ohio/908/2002,EPI33724,,
EPI_ISL_87286,A/chicken/Guangxi/2117/2010,EPI306389,,
EPI_ISL_201991,A/equine/Kent/1/2015,EPI673530,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_14751221,A/swine/Italy/262253/2018,EPI2138452,,
EPI_ISL_14751223,A/swine/Italy/257055/2018,EPI2138451,,
EPI_ISL_333103,A/duck/Bangladesh/19D705/2016,EPI1330324,"icddr,b_International_Centre_for_Diarrhoeal_Disease_Research,_Bangladesh",Centers_for_Disease_Control_and_Prevention
EPI_ISL_333102,A/duck/Bangladesh/17D747/2016,EPI1330318,"icddr,b_International_Centre_for_Diarrhoeal_Disease_Research,_Bangladesh",Centers_for_Disease_Control_and_Prevention
EPI_ISL_333105,A/duck/Bangladesh/20D678/2016,EPI1330337,"icddr,b_International_Centre_for_Diarrhoeal_Disease_Research,_Bangladesh",Centers_for_Disease_Control_and_Prevention
EPI_ISL_333104,A/duck/Bangladesh/20D677/2016,EPI1330330,"icddr,b_International_Centre_for_Diarrhoeal_Disease_Research,_Bangladesh",Centers_for_Disease_Control_and_Prevention
EPI_ISL_218443,A/canine/Korea/BD-1/2013,EPI743742,,
EPI_ISL_14751159,A/swine/Italy/81485/2018,EPI2138455,,
EPI_ISL_17060964,A/swine/Illinois/A02751389/2022,EPI2433911,,
EPI_ISL_17060967,A/swine/Iowa/A02751402/2022,EPI2433917,,
EPI_ISL_19174467,A/Sterna_paradisaea/Fildes_Peninsula-King_George_Island/09/2023,EPI3349807,Research_Institute_of_Experimental_and_Clinical_Medicine,Central_Research_Institute_of_Epidemiology
EPI_ISL_17060970,A/swine/Indiana/A02751414/2022,EPI2433923,,
EPI_ISL_16700814,A/swine/Nebraska/4C-0813-G20/2013,EPI2318446,St_Jude_Children's_Research_Hospital,St._Jude_Children's_Research_Hospital
EPI_ISL_136563,A/swine/Michigan/A01432375/2013,EPI426878,,
EPI_ISL_136561,A/swine/South_Dakota/A01280095/2013,EPI426870,,
EPI_ISL_136567,A/swine/Iowa/A01432271/2012,EPI426887,,
EPI_ISL_16209281,A/Duck/Mongolia/2021-MG07/2021,EPI2256878,,
EPI_ISL_16209280,A/Duck/Mongolia/2021-MG04/2021,EPI2256870,,
EPI_ISL_16209280,A/Duck/Mongolia/2021-MG04/2021,EPI2257114,,
EPI_ISL_136568,A/swine/Indiana/A01432300/2013,EPI426890,,
EPI_ISL_136574,A/swine/Iowa/A01432308/2013,EPI426908,,
EPI_ISL_71038,A/swine/Indonesia/P6-09-04/2004,EPI246022,,
EPI_ISL_16209279,A/Duck/Mongolia/2021-MG05/2021,EPI2256862,,
EPI_ISL_120213,A/mallard/Ukraine/05842-NAMRU3/2006,EPI372504,U.S._Naval_Medical_Research_Unit_No.3,Centers_for_Disease_Control_and_Prevention
EPI_ISL_234911,A/equine/Perthshire/1/2014,EPI839711,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_103836,A/turkey/Ontario/FAV-10/2011,EPI353639,,
EPI_ISL_103839,A/swine/Hong_Kong/NS2439/2011,EPI353655,,
EPI_ISL_234908,A/equine/West_Lothian/1/2014,EPI839642,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_103838,A/swine/Guangxi/NS2783/2010,EPI353654,,
EPI_ISL_14767425,A/northern_pintail/Alaska/AK20-463/2020,EPI2143030,,
EPI_ISL_234915,A/equine/Worcestershire/2/2014,EPI839719,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_14767424,A/northern_pintail/Alaska/AK20-434/2020,EPI2143022,,
EPI_ISL_234914,A/equine/Perthshire/2/2014,EPI839717,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_103840,A/swine/Hong_Kong/2503/2011,EPI353656,,
EPI_ISL_234913,A/equine/Scottish_Borders/1/2014,EPI839715,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_87459,A/canine/Colorado/148902/2006,EPI307318,,
EPI_ISL_234912,A/equine/Staffordshire/1/2014,EPI839713,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_87458,A/canine/Colorado/224986/2006,EPI307317,,
EPI_ISL_218535,A/swine/Bac_Ninh/40-12-3/2015,EPI744245,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_87461,A/canine/Wyoming/86033/2007,EPI307320,,
EPI_ISL_87460,A/canine/Colorado/3/2006,EPI307319,,
EPI_ISL_19174530,A/Pygoscelis_papua/Fildes_Peninsula-King_George_Island/31/2023,EPI3349814,Research_Institute_of_Experimental_and_Clinical_Medicine,Central_Research_Institute_of_Epidemiology
EPI_ISL_234917,A/equine/West_Midlands/1/2014,EPI839723,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_103847,A/swine/North_Carolina/A01202766/2011,EPI353705,,
EPI_ISL_234916,A/equine/Kent/1/2014,EPI839721,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_87462,A/equine/Colorado/10/2007,EPI307321,,
EPI_ISL_14767433,A/northern_pintail/Alaska/UGAI17-5369/2017,EPI2143095,,
EPI_ISL_218539,A/swine/Bac_Ninh/40-17-3/2015,EPI744277,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_103849,A/swine/North_Carolina/A01048779/2011,EPI353709,,
EPI_ISL_234922,A/equine/Northamptonshire/4/2015,EPI839821,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_218538,A/swine/Bac_Ninh/40-16-3/2015,EPI744269,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_234921,A/equine/Northamptonshire/3/2015,EPI839794,Animal_Health_Trust,Animal_Health_Trust
EPI_ISL_218537,A/swine/Bac_Ninh/40-14-3/2015,EPI744261,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218536,A/swine/Bac_Ninh/40-13-3/2015,EPI744253,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_14767437,A/mallard/Alaska/AK19-199E_T1/2019,EPI2143129,,
EPI_ISL_218542,A/swine/Bac_Ninh/40-20-3/2015,EPI744301,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218541,A/swine/Bac_Ninh/40-19-3/2015,EPI744293,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_218540,A/swine/Bac_Ninh/40-18-3/2015,EPI744285,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
